ORF,Xi
YOR145C,0.000135656
YOR144C,2.37233E-05
YOR143C,2.37233E-05
YOR142W-A,0
YOR142W-B,0
YOR142W,0.000953167
YOR141C,0.00017463
YOR140W,5.73312E-05
YOR138C,9.07509E-05
YOR137C,1.09202E-05
YOR136W,0.000265286
YOR134W,6.74983E-05
YOR133W,6.30737E-05
YOR132W,0.00014234
YOR131C,7.17346E-05
YOR130C,1.64745E-05
YOR129C,1.40268E-05
YOR128C,0.000161732
YOR127W,5.23418E-05
YOR126C,4.98942E-05
YOR125C,7.31467E-05
YOR124C,0.000130007
YOR123C,0.000150153
YOR122C,0.000665946
YOR120W,0.000397647
YOR119C,3.32314E-05
YOR118W,5.21535E-05
YOR117W,0.000289198
YOR116C,0.000136126
YOR115C,2.8901E-05
YOR114W,2.55119E-05
YOR113W,0.000221135
YOR112W,7.3994E-05
YOR111W,5.18711E-05
YOR110W,3.45493E-05
YOR109W,0.000137821
YOR108W,2.44764E-05
YOR107W,5.1777E-06
YOR106W,2.31584E-05
YOR105W,0
YOR104W,4.0386E-05
YOR103C,5.72371E-05
YOR101W,2.45705E-05
YOR100C,5.62015E-05
YOR099W,0.000193552
YOR098C,0.000129631
YOR097C,2.14639E-05
YOR096W,0.000726948
YOR095C,9.03743E-05
YOR094W,3.20076E-05
YOR093C,5.99671E-05
YOR092W,2.02401E-05
YOR091W,0.000105154
YOR090C,4.71641E-05
YOR089C,0.000192987
YOR087W,7.09815E-05
YOR086C,0.000304637
YOR085W,0.000125959
YOR084W,6.07202E-05
YOR083W,2.38174E-05
YOR081C,3.92563E-05
YOR080W,1.82631E-05
YOR079C,2.02401E-05
YOR078W,3.26665E-05
YOR077W,3.73735E-05
YOR076C,5.54484E-05
YOR075W,6.18499E-05
YOR074C,7.53119E-05
YOR073W,1.72276E-05
YOR072W-B,0
YOR072W,2.8242E-07
YOR071C,8.00189E-06
YOR070C,9.57403E-05
YOR068C,0
YOR069W,9.70583E-05
YOR067C,5.47894E-05
YOR066W,5.52601E-05
YOR065W,0.000480208
YOR064C,2.42881E-05
YOR063W,0.002533023
YOR062C,1.13909E-05
YOR061W,9.90352E-05
YOR060C,1.30854E-05
YOR059C,1.89221E-05
YOR058C,4.16098E-05
YOR057W,6.87221E-05
YOR056C,7.94541E-05
YOR054C,0.000106943
YOR052C,0.000231019
YOR051C,2.7583E-05
YOR049C,2.07108E-06
YOR048C,8.11486E-05
YOR047C,3.20076E-06
YOR046C,0.000277619
YOR045W,0.00010346
YOR044W,1.82631E-05
YOR043W,0.000104495
YOR042W,0.000313486
YOR040W,9.69641E-05
YOR039W,9.51755E-05
YOR038C,5.46953E-05
YOR037W,2.93717E-05
YOR036W,0.000114851
YOR035C,0.00014008
YOR034C-A,0
YOR034C,4.40575E-05
YOR033C,1.8828E-05
YOR032W-A,0
YOR032C,5.1777E-06
YOR031W,2.48529E-05
YOR030W,2.66416E-05
YOR029W,0
YOR028C,8.19017E-05
YOR027W,0.001111133
YOR026W,1.32737E-05
YOR025W,4.52813E-05
YOR023C,0.000104966
YOR022C,3.10662E-05
YOR021C,9.47048E-05
YOR020W-A,0.000139233
YOR020C,0.000520688
YOR019W,3.73735E-05
YOR018W,6.09085E-05
YOR017W,3.55849E-05
YOR016C,9.2163E-05
YOR015W,9.41399E-07
YOR014W,0.000218875
YOR012W,3.01248E-06
YOR011W-A,1.4121E-06
YOR011W,1.27089E-05
YOR010C,1.98635E-05
YOR009W,9.41399E-06
YOR008C-A,2.8242E-07
YOR008C,0.000186774
YOR007C,0.000480019
YOR006C,4.11391E-05
YOR005C,2.24994E-05
YOR004W,2.88068E-05
YOR003W,2.87127E-05
YOR002W,7.40881E-05
YOR001W,0.000104589
YOL001W,1.63803E-05
YOL002C,4.54696E-05
YOL003C,2.09932E-05
YOL004W,0.000341916
YOL005C,9.87528E-05
YOL006C,0.000100071
YOL007C,5.53543E-05
YOL008W,2.84303E-05
YOL009C,3.08779E-05
YOL010W,5.42246E-05
YOL011W,6.84397E-05
YOL012C,0.000119369
YOL013C,4.63168E-05
YOL013W-A,9.41399E-08
YOL014W,4.707E-07
YOL015W,5.64839E-07
YOL016C,0.000107696
YOL017W,3.21017E-05
YOL018C,8.39728E-05
YOL019W,5.9873E-05
YOL019W-A,0
YOL020W,8.21841E-05
YOL021C,0.000166628
YOL022C,5.89316E-05
YOL023W,2.03342E-05
YOL024W,4.707E-07
YOL025W,4.89528E-05
YOL026C,5.91199E-05
YOL027C,0.000242034
YOL028C,2.45705E-05
YOL029C,0
YOL030W,0.000422594
YOL031C,5.39422E-05
YOL032W,9.43282E-05
YOL033W,2.13698E-05
YOL034W,3.72794E-05
YOL036W,0.000114003
YOL038W,0.000233749
YOL038C-A,4.2363E-06
YOL039W,0.000694658
YOL040C,0.001363899
YOL041C,9.18806E-05
YOL042W,3.17252E-05
YOL043C,1.44034E-05
YOL044W,6.42034E-05
YOL045W,2.72064E-05
YOL047C,2.3535E-06
YOL048C,5.10238E-05
YOL049W,8.87739E-05
YOL051W,0.000343893
YOL052C,4.12333E-05
YOL052C-A,0.002637141
YOL053W,3.33255E-05
YOL054W,4.22688E-05
YOL055C,7.14522E-05
YOL056W,2.23112E-05
YOL057W,9.56462E-05
YOL058W,0.000115227
YOL059W,0.000194964
YOL060C,9.58344E-05
YOL061W,0.000188562
YOL062C,5.07414E-05
YOL063C,3.2949E-05
YOL064C,5.91199E-05
YOL065C,6.65569E-05
YOL066C,3.62439E-05
YOL067C,5.59191E-05
YOL068C,1.97694E-05
YOL069W,3.37962E-05
YOL070C,0.000152413
YOL071W,0.000111838
YOL072W,2.7583E-05
YOL073C,3.99153E-05
YOL075C,4.17981E-05
YOL076W,4.99883E-05
YOL077C,9.39516E-05
YOL077W-A,0.00020033
YOL078W,5.57308E-05
YOL080C,1.22382E-05
YOL081W,0.00018941
YOL082W,0.00011871
YOL083W,0.000142151
YOL084W,0.000136597
YOL085C,1.22382E-06
YOL086C,0.002185176
YOL086W-A,2.50412E-05
YOL087C,0.000152695
YOL088C,6.14734E-05
YOL089C,0.000110238
YOL090W,0.000118616
YOL091W,1.60038E-06
YOL092W,0.000108732
YOL093W,4.20805E-05
YOL094C,6.98518E-05
YOL095C,6.02495E-06
YOL096C,6.53331E-05
YOL097C,0.00010892
YOL097W-A,0
YOL098C,0.000152977
YOL100W,0.000117204
YOL101C,2.52295E-05
YOL102C,3.85974E-05
YOL103W,4.78231E-05
YOL103W-A,0
YOL103W-B,0
YOL104C,1.31796E-06
YOL105C,1.2144E-05
YOL107W,2.78654E-05
YOL108C,3.25724E-05
YOL109W,0.001701579
YOL110W,3.60556E-05
YOL111C,0.000109485
YOL112W,2.74889E-05
YOL113W,4.76348E-05
YOL114C,5.93081E-06
YOL115W,3.46435E-05
YOL116W,2.45705E-05
YOL117W,5.57308E-05
YOL118C,3.95388E-06
YOL119C,8.21841E-05
YOL120C,0.000479078
YOL121C,0.000321864
YOL122C,0.000176606
YOL123W,0.000337115
YOL124C,2.49471E-05
YOL125W,1.61921E-05
YOL126C,0.001911511
YOL127W,0.001207156
YOL128C,1.0732E-05
YOL129W,0.00018941
YOL130W,6.70276E-05
YOL131W,2.91834E-06
YOL132W,1.8828E-06
YOL133W,6.29796E-05
YOL135C,3.08779E-05
YOL136C,9.50813E-06
YOL137W,4.32102E-05
YOL138C,4.65993E-05
YOL139C,0.000411862
YOL140W,1.54389E-05
YOL141W,2.20287E-05
YOL142W,5.63898E-05
YOL143C,0.000355378
YOL144W,3.39845E-05
YOL145C,0.000142904
YOL146W,3.6997E-05
YOL147C,0.000442834
YOL148C,4.5752E-05
YOL149W,5.05531E-05
YOL151W,0.000131325
YOL152W,5.1777E-06
YOL153C,2.42881E-05
YOL154W,1.78866E-06
YOL155C,0.003855594
YOL155W-A,0
YOL156W,4.707E-07
YOL157C,2.16522E-06
YOL158C,3.10662E-06
YOL159C,2.54178E-05
YOL159C-A,1.2803E-05
YOL160W,9.41399E-08
YOL161C,1.8828E-07
YOL162W,0
YOL163W,2.73006E-06
YOL164W,4.707E-06
YOL164W-A,2.07108E-06
YOL165C,9.41399E-08
YOL166W-A,0
YNR077C,0
YNR076W,0
YNR075C-A,0
YNR075W,1.05437E-05
YNR074C,1.27089E-05
YNR073C,4.14216E-06
YNR072W,0
YNR071C,6.11909E-06
YNR070W,4.04802E-06
YNR069C,3.20076E-06
YNR068C,0
YNR067C,0.000183667
YNR066C,1.51565E-05
YNR065C,1.8828E-07
YNR064C,1.05437E-05
YNR063W,1.86397E-05
YNR062C,7.53119E-07
YNR061C,5.31891E-05
YNR060W,7.24877E-06
YNR059W,6.02495E-06
YNR058W,7.43705E-06
YNR057C,1.2803E-05
YNR056C,5.64839E-06
YNR055C,4.17981E-05
YNR054C,5.31891E-05
YNR053C,0.000122853
YNR052C,0.000113344
YNR051C,7.11698E-05
YNR050C,0.000143563
YNR049C,6.15675E-05
YNR048W,2.29701E-05
YNR047W,0.000112215
YNR046W,7.90775E-05
YNR045W,3.90681E-05
YNR044W,3.48318E-06
YNR043W,0.000225465
