ORF,Xi
YOR387C,1.287E-07
YOR386W,7.52893E-06
YOR385W,1.14543E-05
YOR384W,7.07849E-07
YOR383C,5.66279E-06
YOR382W,2.20077E-05
YOR381W-A,0
YOR381W,7.07849E-07
YOR380W,3.92534E-06
YOR378W,3.66794E-06
YOR377W,3.11453E-05
YOR376W-A,1.287E-07
YOR376W,6.43499E-08
YOR375C,0.000964604
YOR374W,7.74772E-05
YOR373W,3.70012E-05
YOR372C,3.37193E-05
YOR371C,2.20077E-05
YOR370C,7.17501E-05
YOR369C,0.003971159
YOR368W,1.12612E-05
YOR367W,3.08236E-05
YOR365C,1.4157E-06
YOR363C,8.42983E-06
YOR362C,0.00023507
YOR361C,0.000597489
YOR360C,3.47489E-05
YOR359W,3.01157E-05
YOR358W,8.10808E-06
YOR357C,4.37579E-05
YOR356W,6.70526E-05
YOR355W,7.92147E-05
YOR354C,3.08236E-05
YOR353C,2.50321E-05
YOR352W,1.53153E-05
YOR351C,2.57399E-07
YOR350C,7.59328E-06
YOR349W,9.33073E-06
YOR348C,8.36548E-07
YOR347C,2.03989E-05
YOR346W,3.44272E-05
YOR344C,5.56626E-05
YOR343W-A,0
YOR343W-B,1.9305E-07
YOR343C,6.43499E-08
YOR342C,2.75417E-05
YOR341W,0.000518016
YOR340C,0.000184234
YOR339C,1.09395E-06
YOR338W,1.48005E-06
YOR337W,2.20077E-05
YOR336W,4.8005E-05
YOR335C,0.00114369
YOR334W,4.95494E-06
YOR332W,0.000937964
YOR330C,2.76704E-05
YOR329C,2.65765E-05
YOR328W,1.48005E-06
YOR327C,0.000101351
YOR326W,0.000208107
YOR324C,1.287E-05
YOR323C,0.000542405
YOR322C,3.46202E-05
YOR321W,2.93435E-05
YOR320C,2.92792E-05
YOR319W,1.16473E-05
YOR317W,0.000210488
YOR316C-A,1.9305E-07
YOR316C,3.88673E-05
YOR315W,7.34875E-05
YOR314W,1.9305E-07
YOR313C,1.1583E-06
YOR312C,0.001216019
YOR311C,4.63963E-05
YOR310C,0.000782559
YOR308C,2.09781E-05
YOR307C,2.03346E-05
YOR306C,4.56884E-06
YOR305W,9.26638E-06
YOR304C-A,1.0296E-05
YOR304W,4.76833E-05
YOR303W,0.000194851
YOR302W,1.23552E-05
YOR301W,3.80951E-05
YOR299W,2.41312E-05
YOR298C-A,0.000770847
YOR298W,7.72198E-07
YOR297C,1.90476E-05
YOR296W,1.64736E-05
YOR295W,7.85068E-06
YOR294W,0.000156628
YOR293C-A,2.57399E-07
YOR293W,0.001156303
YOR292C,7.78633E-06
YOR291W,2.42599E-05
YOR290C,7.55467E-05
YOR289W,4.44014E-06
YOR288C,2.23938E-05
YOR287C,4.20848E-05
YOR286W,4.06691E-05
YOR285W,0.000130502
YOR284W,9.00898E-06
YOR283W,8.23035E-05
YOR281C,6.69882E-05
YOR280C,3.98969E-05
YOR279C,1.35135E-05
YOR278W,2.03346E-05
YOR276W,0.000366666
YOR275C,2.07207E-05
YOR274W,2.31016E-05
YOR273C,1.36422E-05
YOR272W,0.000140604
YOR271C,0.000230952
YOR270C,0.000427927
YOR269W,7.65763E-06
YOR268C,1.287E-07
YOR267C,4.95494E-05
YOR266W,9.20203E-06
YOR265W,7.62546E-05
YOR264W,5.74001E-05
YOR262W,3.58429E-05
YOR261C,0.000229986
YOR260W,0.000129215
YOR259C,0.000251544
YOR258W,7.85068E-06
YOR257W,4.56241E-05
YOR256C,3.01801E-05
YOR255W,6.43499E-08
YOR254C,0.000169498
YOR253W,8.87385E-05
YOR252W,4.87772E-05
YOR251C,7.7992E-05
YOR250C,2.722E-05
YOR249C,1.11969E-05
YOR247W,0.000273294
YOR246C,4.79406E-05
YOR245C,1.62162E-05
YOR244W,2.06563E-05
YOR243C,0.000146653
YOR242C,6.43499E-08
YOR241W,7.61259E-05
YOR239W,0.000256177
YOR238W,1.98198E-05
YOR237W,1.0296E-06
YOR236W,3.48776E-05
YOR235W,0
YOR234C,0.000648389
YOR233W,2.54182E-05
YOR232W,0.000179343
YOR231W,1.68597E-05
YOR230W,0.000377026
YOR229W,2.51608E-05
YOR228C,5.72714E-06
YOR227W,1.33204E-05
YOR226C,0.000106049
YOR224C,0.000207657
YOR223W,1.93693E-05
YOR222W,0.000133526
YOR221C,2.36164E-05
YOR220W,2.722E-05
YOR219C,1.71814E-05
YOR217W,9.97423E-05
YOR216C,4.04761E-05
YOR215C,2.39381E-05
YOR214C,1.287E-07
YOR213C,1.19047E-05
YOR212W,7.41954E-05
YOR211C,3.00514E-05
YOR210W,0.000124067
YOR209C,0.000144658
YOR208W,6.62804E-06
YOR207C,0.000157078
YOR206W,0.000246396
YOR205C,7.14284E-06
YOR204W,0.001371231
YOR202W,0.000155984
YOR201C,2.05276E-05
YOR198C,0.000622521
YOR197W,0.000209845
YOR196C,3.94465E-05
YOR195W,5.57913E-05
YOR194C,6.29985E-05
YOR193W,5.08364E-06
YOR192C-A,0
YOR192C-B,1.287E-07
YOR192C-C,0
YOR192C,3.86099E-07
YOR191W,3.70655E-05
YOR190W,5.14799E-07
YOR189W,2.66408E-05
YOR188W,4.59458E-05
YOR187W,0.000188609
YOR186W,1.9305E-07
YOR185C,2.49677E-05
YOR184W,0.000547296
YOR183W,4.50449E-07
YOR182C,0.000603537
YOR181W,3.7516E-05
YOR180C,5.14799E-07
YOR179C,1.60875E-05
YOR178C,1.6731E-06
YOR177C,1.73745E-06
YOR176W,0.000130888
YOR175C,6.31272E-05
YOR174W,1.89189E-05
YOR173W,1.35135E-06
YOR172W,9.07333E-06
YOR171C,7.63189E-05
YOR168W,0.000653602
YOR167C,0.001181399
YOR166C,1.36422E-05
YOR165W,0.000109009
YOR164C,0.000136808
YOR163W,7.32301E-05
YOR162C,1.45431E-05
YOR161C-C,2.57399E-07
YOR161C,2.35521E-05
YOR160W,4.90346E-05
YOR159C,3.89317E-05
YOR158W,2.56112E-05
YOR157C,0.000222908
YOR156C,1.5637E-05
YOR155C,3.63577E-05
YOR154W,1.20978E-05
YOR153W,0.000171428
YOR152C,5.08364E-06
YOR151C,0.000230115
YOR150W,2.78635E-05
YOR149C,1.00386E-05
YOR148C,8.62288E-06
YOR147W,1.04247E-05
YOR145C,0.000174195
YOR144C,1.33848E-05
YOR143C,2.24581E-05
YOR142W-A,0
YOR142W-B,0
YOR142W,0.000173552
YOR141C,7.14927E-05
YOR140W,2.77348E-05
YOR138C,4.009E-05
YOR137C,2.0592E-06
YOR136W,0.000624065
YOR134W,7.07849E-07
YOR133W,0.000146975
YOR132W,4.42727E-05
YOR131C,3.7709E-05
YOR130C,2.63191E-05
YOR129C,6.04889E-06
YOR128C,0.000136743
YOR127W,2.73487E-05
YOR126C,2.67695E-05
YOR125C,2.3359E-05
YOR124C,9.453E-05
YOR123C,8.84167E-05
YOR122C,0.000451543
YOR120W,4.63319E-06
YOR119C,4.9485E-05
YOR118W,2.23294E-05
YOR117W,0.000254697
YOR116C,0.000168017
YOR115C,2.93435E-05
YOR114W,8.42983E-06
YOR113W,2.38738E-05
YOR112W,4.27283E-05
YOR111W,1.60875E-05
YOR110W,2.68982E-05
YOR109W,8.73871E-05
YOR108W,0.000138095
YOR107W,3.21749E-07
YOR106W,1.44787E-05
YOR105W,0
YOR104W,1.1583E-05
YOR103C,6.04245E-05
YOR101W,5.75931E-05
YOR100C,1.48005E-06
YOR099W,0.000167181
YOR098C,0.000113771
YOR097C,9.84553E-06
YOR096W,0.00212657
YOR095C,0.000138996
YOR094W,3.29471E-05
YOR093C,2.22651E-05
YOR092W,3.07592E-05
YOR091W,0.000181145
