Protein,phi
YER010C,0.000110641
YER012W,0.000158032
YER014W,0.000515126
YER019C-A,1.15465E-05
YER019W,0
YER021W,0.000454554
YER023W,0.000331264
YER025W,0.000779224
YER029C,4.41455E-05
YER030W,3.36421E-05
YER031C,2.73852E-05
YER034W,8.7819E-06
YER036C,0.000609017
YER042W,0.000301579
YER043C,0.002382232
YER044C,7.50419E-05
YER048C,0.000357116
YER048W-A,8.82941E-05
YER049W,0.000249504
YER052C,0.000332444
YER055C,8.84986E-05
YER056C,0
YER057C,0.000141708
YER061C,6.29069E-05
YER062C,7.63544E-05
YER063W,0.000286487
YER067W,2.87859E-05
YER068W,8.52908E-05
YER069W,0.000453797
YER070W,0.000241395
YER072W,9.75667E-05
YER073W,0.000430438
YER074W-A,3.36932E-06
YER078C,0
YER079W,6.05348E-05
YER080W,0.000783925
YER081W,0.000104337
YER082C,9.8571E-05
YER083C,6.1233E-05
YER086W,0.000652547
YER088C,4.14296E-05
YER089C,0.000219318
YER090W,0.000826982
YER091C,0.001756672
YER092W,2.04654E-05
YER094C,0.000179293
YER099C,0.000188619
YER100W,0
YER101C,1.85193E-05
YER103W,0.000321935
YER105C,1.96799E-05
YER110C,0.001566867
YER112W,0.00011428
YER114C,0
YER120W,6.68147E-05
YER122C,0.000261441
YER123W,2.34879E-05
YER125W,0.003681428
YER131W,7.20787E-06
YER133W,0.000134979
YER134C,6.81549E-05
YER136W,0.000819136
YER139C,4.88974E-05
YER143W,9.10244E-05
YER145C,0
YER146W,8.70546E-05
YER148W,4.38947E-05
YER151C,0.000317972
YER152C,0.000178921
YER155C,0.0003918
YER156C,0.000231951
YER159C,1.80013E-05
YER161C,9.15779E-06
YER163C,7.27218E-05
YER164W,9.84426E-05
YER165W,0.001582808
YER166W,0
YER168C,0.000710422
YER174C,8.20967E-05
YER175C,7.51314E-05
YER176W,0.000223695
YER177W,0.000526984
YER178W,0.001065664
YER182W,3.67413E-05
YFL001W,3.40015E-05
YFL002C,0
YFL004W,0.000284023
YFL005W,0.000201789
YFL007W,0.000133418
YFL008W,0.000260053
YFL010C,0.000113737
YFL014W,0.000989807
YFL016C,0.000204308
YFL017C,0.000125218
YFL017W-A,4.493E-06
YFL018C,0.001141391
YFL022C,0.000702378
YFL023W,8.49652E-05
YFL028C,8.6174E-05
YFL034C-A,1.38293E-05
YFL037W,0.001865679
YFL038C,0.000318594
YFL039C,0.006405145
YFL041W,0.000235838
YFL044C,2.18447E-05
YFL045C,0.000835049
YFL047W,0
YFL048C,0.000151186
YFR001W,5.20441E-05
YFR002W,0.000139801
YFR003C,7.45739E-05
YFR004W,0.000446262
YFR006W,0.00031061
YFR009W,0.000338173
YFR010W,0.00023889
YFR011C,0.000100488
YFR013W,3.28489E-05
YFR014C,0.000129933
YFR016C,0.000170071
YFR024C-A,0.000285745
YFR025C,0
YFR028C,6.6246E-05
YFR030W,0.000148683
YFR033C,0.000199188
YFR034C,2.52385E-06
YFR037C,0.000272838
YFR040W,9.8553E-05
YFR041C,0
YFR044C,0.002789055
YFR047C,0.000307981
YFR049W,2.04111E-06
YFR050C,0.000149221
YFR051C,0.000382113
YFR052W,0.00012231
YFR053C,0.004115656
YGL001C,0.000112545
YGL005C,0
YGL008C,0.001071328
YGL009C,0.000703439
YGL011C,0.000220137
YGL014W,0.000149148
YGL016W,0
YGL018C,0
YGL019W,0.000103865
YGL020C,6.08098E-06
YGL022W,9.30171E-05
YGL023C,0
YGL025C,2.74642E-06
YGL026C,0.001015327
YGL027C,0.000289504
YGL028C,7.40497E-05
YGL030W,0.00037164
YGL031C,5.55892E-05
YGL035C,0.00013917
YGL037C,0.000445951
YGL038C,0
YGL039W,5.44261E-05
YGL040C,0.000357863
YGL043W,8.06914E-05
YGL048C,0.000342687
YGL049C,0.000240537
YGL050W,3.32174E-05
YGL054C,9.45846E-06
YGL055W,0.000189084
YGL056C,0.00014021
YGL061C,1.94456E-06
YGL062W,0.001329822
YGL063W,0
YGL066W,0
YGL067W,8.48411E-05
YGL068W,0.000250515
YGL070C,3.93529E-05
YGL073W,0
YGL076C,0.001916193
YGL078C,0.000261698
YGL082W,5.86621E-05
YGL084C,0.000128717
YGL087C,8.52394E-05
YGL092W,0.0002205
YGL097W,0.000152712
YGL099W,0.000231385
YGL100W,0.000122929
YGL101W,0
YGL103W,0.000831703
YGL105W,0.001129362
YGL106W,0.000211909
YGL108C,1.70323E-05
YGL111W,8.44316E-05
YGL112C,0.000157833
YGL115W,0.000172521
YGL117W,7.38606E-06
YGL119W,0
YGL120C,0.00018315
YGL122C,0.000115021
YGL123W,0.00136613
YGL125W,0.000156968
YGL129C,0.000194537
YGL130W,8.62212E-05
YGL137W,0.000729945
YGL141W,7.16279E-05
YGL145W,0.000340122
YGL147C,7.43586E-05
YGL148W,0.000345582
YGL150C,0
YGL153W,5.3557E-05
YGL157W,2.29493E-05
YGL164C,0.004391356
